------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Blablabla
======  Blade Properties =================================================================
         19   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.000000	0.000000	0.000000	0.000000	15.594553	5.200000	1
2.471814	0.000000	0.000000	0.000000	15.587739	5.208840	1
4.943628	0.000000	0.000000	0.000000	15.410835	5.237887	1
7.415442	0.000000	0.000000	0.000000	14.948556	5.293325	1
9.887255	0.000000	0.000000	0.000000	14.258455	5.367340	1
12.359069	0.000000	0.000000	0.000000	13.397142	5.452093	1
14.830883	0.000000	0.000000	0.000000	12.422019	5.540032	1
17.302697	0.000000	0.000000	0.000000	11.394571	5.621824	1
19.774511	0.000000	0.000000	0.000000	10.370976	5.692531	2
22.246325	0.000000	0.000000	0.000000	9.404000	5.742611	2
24.718138	0.000000	0.000000	0.000000	8.551522	5.764837	2
27.189952	0.000000	0.000000	0.000000	7.833153	5.756120	2
29.661766	0.000000	0.000000	0.000000	7.191355	5.703099	2
32.133580	0.000000	0.000000	0.000000	6.551629	5.604676	3
34.605394	0.000000	0.000000	0.000000	5.933996	5.471559	3
37.077208	0.000000	0.000000	0.000000	5.346090	5.322778	3
39.549021	0.000000	0.000000	0.000000	4.796334	5.166482	3
42.020835	0.000000	0.000000	0.000000	4.296594	5.019421	4
44.492649	0.000000	0.000000	0.000000	3.846955	4.885808	4
46.964463	0.000000	0.000000	0.000000	3.445342	4.767960	4
49.436277	0.000000	0.000000	0.000000	3.076914	4.654566	4
51.908091	0.000000	0.000000	0.000000	2.733562	4.541031	4
54.379905	0.000000	0.000000	0.000000	2.412235	4.428176	5
56.851718	0.000000	0.000000	0.000000	2.111691	4.316959	5
59.323532	0.000000	0.000000	0.000000	1.828396	4.207881	5
61.795346	0.000000	0.000000	0.000000	1.558783	4.101646	5
64.267160	0.000000	0.000000	0.000000	1.302437	3.998712	5
66.738974	0.000000	0.000000	0.000000	1.064427	3.899409	6
69.210788	0.000000	0.000000	0.000000	0.843446	3.803173	6
71.682601	0.000000	0.000000	0.000000	0.636564	3.709389	6
74.154415	0.000000	0.000000	0.000000	0.437029	3.617112	6
76.626229	0.000000	0.000000	0.000000	0.239657	3.525635	6
79.098043	0.000000	0.000000	0.000000	0.039678	3.434083	7
81.569857	0.000000	0.000000	0.000000	-0.172828	3.341933	7
84.041671	0.000000	0.000000	0.000000	-0.407084	3.248678	7
86.513484	0.000000	0.000000	0.000000	-0.680378	3.156110	7
88.985298	0.000000	0.000000	0.000000	-0.999294	3.064580	7
91.457112	0.000000	0.000000	0.000000	-1.320525	2.972993	7
93.928926	0.000000	0.000000	0.000000	-1.623299	2.880705	8
96.400740	0.000000	0.000000	0.000000	-1.884368	2.786969	8
98.872554	0.000000	0.000000	0.000000	-2.086230	2.691031	8
101.344367	0.000000	0.000000	0.000000	-2.163998	2.591966	8
103.816181	0.000000	0.000000	0.000000	-2.175841	2.489324	8
106.287995	0.000000	0.000000	0.000000	-2.155304	2.383917	8
108.759809	0.000000	0.000000	0.000000	-2.102910	2.275924	8
111.231623	0.000000	0.000000	0.000000	-2.018403	2.165467	8
113.703437	0.000000	0.000000	0.000000	-1.896743	2.052625	8
116.175251	0.000000	0.000000	0.000000	-1.724326	1.937753	8
118.647064	0.000000	0.000000	0.000000	-1.508125	1.819663	8
119.302095	0.000000	0.000000	0.000000	-1.442971	1.779922	8
119.907689	0.000000	0.000000	0.000000	-1.379466	1.707787	8
120.513284	0.000000	0.000000	0.000000	-1.312658	1.472483	8
121.118878	0.000000	0.000000	0.000000	-1.242388	0.500000	8
